TXN,CARDS,DE,C,S,F,M,T,Description
CVOID,V,36,X,X,X,X,X,Track 3 Data
CVOID,V,37,M,M,M,M,M,Retrieval Reference Number
CVOID,V,38,M,M,M,M,M,Authorization Code
CVOID,V,39,Y1/Y3,0,0,0,Y1/Y3,Response Code
CVOID,V,41,O,O,O,O,O,Card Acceptor Terminal Identification
CVOID,V,42,M,M,M,M,M,Card Acceptor Identification Code
CVOID,V,52,X,X,X,X,X,PIN Data
CVOID,V,53,X,X,X,X,X,Security Related Control Information
CVOID,V,54,O,O,O,O,O,Additional Amounts
CVOID,V,55,M,X,X,X,M,EMV Chip Data
CVOID,V,59,X,X,X,X,X,Card Authentication Data
CVOID,V,60,X,X,X,X,X,POS Data
CVOID,V,61,M,M,M,M,M,Additional POS Data
CVOID,V,62,X,X,X,X,X,Invoice/ECR Reference Number
CVOID,V,63,M,M,M,M,M,Additional Data
CVOID,U,2,M,X,M,M,M,Primary Account Number (PAN)
CVOID,U,3,0200NN,0200NN,0200NN,0200NN,0200NN,Processing Code
CVOID,U,4,M,M,M,M,M,"Amount, Transaction"
CVOID,U,11,M,M,M,M,M,Systems Trace Audit Number
CVOID,U,12,M,M,M,M,M,"Time, Local Transaction"
CVOID,U,13,M,M,M,M,M,"Date, Local Transaction"
CVOID,U,14,X,X,X,M,X,"Date, Expiration"
CVOID,U,18,O,O,O,O,O,Merchant Type Code
CVOID,U,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
CVOID,U,24,M,M,M,M,M,Network International Identifier (NII)
CVOID,U,25,50,50,50,50,50,Point-of-Service Condition Code
CVOID,U,28,O,O,O,O,O,Transaction Fee Amount
CVOID,U,35,M,M,M,X,M,Track 2 Data
CVOID,U,36,X,X,X,X,X,Track 3 Data
CVOID,U,37,M,M,M,M,M,Retrieval Reference Number
CVOID,U,38,M,M,M,M,M,Authorization Code
CVOID,U,39,O,O,O,O,O,Response Code
CVOID,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
CVOID,U,42,M,M,M,M,M,Card Acceptor Identification Code
CVOID,U,52,X,X,X,X,X,PIN Data
CVOID,U,53,X,X,X,X,X,Security Related Control Information
CVOID,U,54,O,O,O,O,O,Additional Amounts
CVOID,U,55,M,X,X,X,M,EMV Chip Data
CVOID,U,59,X,X,X,X,X,Card Authentication Data
CVOID,U,60,X,X,X,X,X,POS Data
CVOID,U,61,M,M,M,M,M,Additional POS Data
CVOID,U,62,X,X,X,X,X,Invoice/ECR Reference Number
CVOID,U,63,M,M,M,M,M,Additional Data
BATCH,V,2,M,X,M,M,M,Primary Account Number (PAN)
BATCH,V,3,0030NN,0030NN,0030NN,0030NN,0030NN,Processing Code
BATCH,V,4,M,M,M,M,M,"Amount, Transaction"
BATCH,V,11,M,M,M,M,M,Systems Trace Audit Number
BATCH,V,12,O,O,O,O,O,"Time, Local Transaction"
BATCH,V,13,O,O,O,O,O,"Date, Local Transaction"
BATCH,V,14,X,X,X,M,X,"Date, Expiration"
BATCH,V,18,O,O,O,O,O,Merchant Type Code
BATCH,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
BATCH,V,24,M,M,M,M,M,Network International Identifier (NII)
BATCH,V,25,50,50,50,50,50,Point-of-Service Condition Code
BATCH,V,28,O,O,O,O,O,Transaction Fee Amount
BATCH,V,37,M,M,M,M,M,Retrieval Reference Number
BATCH,V,38,O,O,O,O,O,Authorization Code
BATCH,V,39,M,M,M,M,M,Response Code
BATCH,V,41,O,O,O,O,O,Card Acceptor Terminal Identification
BATCH,V,42,M,M,M,M,M,Card Acceptor Identification Code
BATCH,V,54,O,O,O,O,O,Additional Amounts
BATCH,V,55,M,X,X,X,M,EMV Chip Data
BATCH,V,59,O,O,O,O,O,Card Authentication Data
BATCH,V,60,M,M,M,M,M,POS Data
BATCH,V,61,M,M,M,M,M,Additional POS Data
BATCH,V,62,O,O,O,O,O,Invoice/ECR Reference Number
BATCH,V,63,M,M,M,M,M,Additional Data
BATCH,U,2,M,X,M,M,M,Primary Account Number (PAN)
BATCH,U,3,0000NN,0000NN,0000NN,0000NN,0000NN,Processing Code
BATCH,U,4,M,M,M,M,M,"Amount, Transaction"
BATCH,U,11,M,M,M,M,M,Systems Trace Audit Number
BATCH,U,12,O,O,O,O,O,"Time, Local Transaction"
BATCH,U,13,O,O,O,O,O,"Date, Local Transaction"
BATCH,U,14,X,X,X,M,X,"Date, Expiration"
BATCH,U,18,O,O,O,O,O,Merchant Type Code
BATCH,U,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
BATCH,U,24,M,M,M,M,M,Network International Identifier (NII)
BATCH,U,25,50,50,50,50,50,Point-of-Service Condition Code
BATCH,U,28,O,O,O,O,O,Transaction Fee Amount
BATCH,U,37,M,M,M,M,M,Retrieval Reference Number
BATCH,U,38,O,O,O,O,O,Authorization Code
BATCH,U,39,M,M,M,M,M,Response Code
BATCH,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
BATCH,U,42,M,M,M,M,M,Card Acceptor Identification Code
BATCH,U,54,O,O,O,O,O,Additional Amounts
BATCH,U,55,M,X,X,X,M,EMV Chip Data
BATCH,U,59,O,O,O,O,O,Card Authentication Data
BATCH,U,60,M,M,M,M,M,POS Data
BATCH,U,61,M,M,M,M,M,Additional POS Data
BATCH,U,62,O,O,O,O,O,Invoice/ECR Reference Number
BATCH,U,63,M,M,M,M,M,Additional Data
BATCHR,V,2,M,X,M,M,M,Primary Account Number (PAN)
BATCHR,V,3,2030NN,2030NN,2030NN,2030NN,2030NN,Processing Code
BATCHR,V,4,M,M,M,M,M,"Amount, Transaction"
BATCHR,V,11,M,M,M,M,M,Systems Trace Audit Number
BATCHR,V,12,O,O,O,O,O,"Time, Local Transaction"
BATCHR,V,13,O,O,O,O,O,"Date, Local Transaction"
BATCHR,V,14,X,X,X,M,X,"Date, Expiration"
BATCHR,V,18,O,O,O,O,O,Merchant Type Code
BATCHR,V,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
BATCHR,V,24,M,M,M,M,M,Network International Identifier (NII)
BATCHR,V,25,50,50,50,50,50,Point-of-Service Condition Code
BATCHR,V,28,O,O,O,O,O,Transaction Fee Amount
BATCHR,V,37,M,M,M,M,M,Retrieval Reference Number
BATCHR,V,38,O,O,O,O,O,Authorization Code
BATCHR,V,39,M,M,M,M,M,Response Code
BATCHR,V,41,O,O,O,O,O,Card Acceptor Terminal Identification
BATCHR,V,42,M,M,M,M,M,Card Acceptor Identification Code
BATCHR,V,54,O,O,O,O,O,Additional Amounts
BATCHR,V,55,M,X,X,X,M,EMV Chip Data
BATCHR,V,59,O,O,O,O,O,Card Authentication Data
BATCHR,V,60,M,M,M,M,M,POS Data
BATCHR,V,61,M,M,M,M,M,Additional POS Data
BATCHR,V,62,O,O,O,O,O,Invoice/ECR Reference Number
BATCHR,V,63,M,M,M,M,M,Additional Data
BATCHR,U,2,M,X,M,M,M,Primary Account Number (PAN)
BATCHR,U,3,2000NN,2000NN,2000NN,2000NN,2000NN,Processing Code
BATCHR,U,4,M,M,M,M,M,"Amount, Transaction"
BATCHR,U,11,M,M,M,M,M,Systems Trace Audit Number
BATCHR,U,12,O,O,O,O,O,"Time, Local Transaction"
BATCHR,U,13,O,O,O,O,O,"Date, Local Transaction"
BATCHR,U,14,X,X,X,M,X,"Date, Expiration"
BATCHR,U,18,O,O,O,O,O,Merchant Type Code
BATCHR,U,22,05N,90N,80N,01N,07N,Point-of-Service Entry Mode
BATCHR,U,24,M,M,M,M,M,Network International Identifier (NII)
BATCHR,U,25,50,50,50,50,50,Point-of-Service Condition Code
BATCHR,U,28,O,O,O,O,O,Transaction Fee Amount
BATCHR,U,37,M,M,M,M,M,Retrieval Reference Number
BATCHR,U,38,O,O,O,O,O,Authorization Code
BATCHR,U,39,M,M,M,M,M,Response Code
BATCHR,U,41,O,O,O,O,O,Card Acceptor Terminal Identification
BATCHR,U,42,M,M,M,M,M,Card Acceptor Identification Code
BATCHR,U,54,O,O,O,O,O,Additional Amounts
BATCHR,U,55,M,X,X,X,M,EMV Chip Data
BATCHR,U,59,O,O,O,O,O,Card Authentication Data
BATCHR,U,60,M,M,M,M,M,POS Data
BATCHR,U,61,M,M,M,M,M,Additional POS Data
BATCHR,U,62,O,O,O,O,O,Invoice/ECR Reference Number
BATCHR,U,63,M,M,M,M,M,Additional Data
